Electrolysis_Type,Voltage_V,Current_Density_mA_cm2,Temperature_C,CO2_Conversion_Rate,CO2_Source,Electricity_Cost_per_kWh,H2_Required_kg,CAPEX_$,SAF_Yield_kg,Carbon_Intensity_gCO2_MJ
HTE,1.528316707315757,762.8382023515933,751.1552438919807,0.4919486943748447,cement,0.03298226463217318,4.953549440131092,7849.559501797631,46.45287697631563,43.826059588760984
LTE,2.864912052258909,196.93074236870137,49.45513191688649,0.45794943744880606,bioethanol,0.026873486116057756,4.676261201532581,21928.154742356037,37.53562543623019,2.445833708103545
HTE,1.5446775682922114,757.5986858048716,771.7822372832583,0.4804242553390528,bioethanol,0.02256418674839474,4.792529221546722,7254.422211171663,38.422718278938255,3.5915246230470084
LTE,2.933207930475814,197.91681319809464,44.179652339092925,0.48890563124065933,DAC,0.04620599512194566,4.055833607330049,20013.81319769371,45.3026836405297,59.75709349375559
LTE,3.0275590088021933,189.36276589425088,48.7164960074316,0.4226111877980595,NGCC,0.053934369249769284,5.6357736207075035,18523.346394965116,39.66830895931886,27.021421679769336
LTE,2.9012963146384436,215.18862930170712,52.57564282942573,0.47270555887756915,cement,0.033228833589143074,4.3454801515347095,20923.702555666292,42.52687794993321,29.237414837163044
LTE,3.019901683790094,194.47422183197665,54.2217817713389,0.49500138506143126,bioethanol,0.04835191481528295,5.179675639039181,18826.983234071915,43.95730221571483,2.7453148077702325
LTE,3.0968782786270914,196.51896223437262,46.541968364066896,0.4920285811571927,DAC,0.06887479578308993,4.224464296633635,18269.092221018676,45.34317636848608,57.28093066076384
LTE,2.9539259428421607,194.8326824245219,51.0790550654583,0.4755535959158267,NGCC,0.0431244104191797,5.734130345695846,20067.140997719987,43.26913273179368,43.26491095549774
LTE,2.9099016226456693,201.09828309553953,57.54792588650708,0.44073727799451595,bioethanol,0.028925480598113402,4.762143781276342,20740.542184120295,37.4013529028086,3.229424258932606
HTE,1.4991572258101782,825.0232526089846,745.3323936120781,0.5263852863913715,NGCC,0.032513136406035224,5.3324761685834625,7656.919269691554,43.78064298071263,23.617573857000906
LTE,2.9696784228331365,218.1708391314593,46.05238909813667,0.4418817398067075,DAC,0.06683257088563138,4.9235449257576285,16713.090314819616,39.13703152084752,44.20891618871617
LTE,2.828962001276491,202.66701929389336,51.59124513921184,0.4264126940023608,bioethanol,0.03973940816601272,4.830239841484037,19191.127834845935,35.631991256211336,2.48650258767696
LTE,2.9337414530251262,204.18305913098084,47.46606945173601,0.45698550134885024,cement,0.057946665715788735,5.08134035772585,20813.196403280926,41.1917542031114,46.53976908116765
LTE,3.03557818413522,204.0010521128962,55.46521292028507,0.4600853820839191,DAC,0.04067637594113615,4.695947764323786,20636.177948132805,42.37654706081306,42.08867666098351
HTE,1.4241074660787358,804.5196270729189,749.2341768991885,0.5488932537786064,bioethanol,0.053224197016989806,4.679708050472193,7688.136372596149,53.14730743137336,2.4616309105264143
HTE,1.4987894717010688,742.837500832286,757.1925871206644,0.4816466983017283,DAC,0.04975552990255747,5.377292017143754,8297.412368311123,40.176756945636484,27.246053729227473
LTE,3.062554757034606,207.47635558780726,48.42709856882062,0.4381006566563182,DAC,0.04762412526102983,4.965123469387912,19721.45099476248,38.47112742632314,26.291832408868746
HTE,1.3997938035326478,789.0998472080175,764.2033879099416,0.5487174363256967,bioethanol,0.04247771039461062,4.494059031597412,8360.458065132902,46.58919137238065,3.6482279652860754
HTE,1.5187738165380082,806.7858966260352,756.1721706219341,0.5451624002138279,bioethanol,0.012099453225763149,4.963871183983309,8000.786815887861,51.80976064236467,4.495449870852246
